Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Distance_KM,Delivery State
21.186438,72.794115,21.226438,72.834115,6.08,Gujarat
17.431477,78.40035,17.491477,78.46035,9.22,Telengana
13.064181,80.236442,13.154181,80.326442,13.97,Tamil Nadu
12.933298,77.614293,13.023298,77.704293,13.97,Karnataka
22.311358,73.164798,22.351358,73.204798,6.06,Gujarat
12.934365,77.616155,13.044365,77.726155,17.08,Karnataka
13.086438,80.220672,13.196438,80.330672,17.07,Tamil Nadu
19.254567,72.848923,19.364567,72.958923,16.82,Maharashtra
26.913483,75.803139,26.933483,75.823139,2.98,Rajasthan
17.411028,78.329645,17.471028,78.389645,9.22,Telengana
15.5696,73.742294,15.6096,73.782294,6.18,Goa
19.876428,75.364792,19.956428,75.444792,12.21,Maharashtra
12.939496,77.625999,12.949496,77.635999,1.55,Karnataka
17.433809,78.386744,17.543809,78.496744,16.9,Telengana
23.374878,85.335739,23.384878,85.345739,1.51,Jharkhand
22.74806,75.8934,22.76806,75.9134,3.03,Madhya Pradesh
26.891191,75.802083,26.981191,75.892083,13.41,Rajasthan
12.316967,76.603067,12.366967,76.653067,7.77,Karnataka
18.927584,72.832585,19.017584,72.922585,13.77,Maharashtra
11.022298,76.998349,11.072298,77.048349,7.79,Tamil Nadu
12.325461,76.632278,12.365461,76.672278,6.22,Karnataka
18.530963,73.828972,18.640963,73.938972,16.85,Maharashtra
17.458998,78.500366,17.488998,78.530366,4.61,Telengana
19.1813,72.836191,19.3113,72.966191,19.88,Maharashtra
11.022477,76.995667,11.032477,77.005667,1.56,Tamil Nadu
22.727021,75.884167,22.747021,75.904167,3.03,Madhya Pradesh
12.979166,77.640709,13.069166,77.730709,13.97,Karnataka
18.994237,72.825553,19.104237,72.935553,16.83,Maharashtra
12.284747,76.625861,12.414747,76.755861,20.21,Karnataka
21.175975,72.795503,21.195975,72.815503,3.04,Gujarat
11.000762,76.981876,11.130762,77.111876,20.25,Tamil Nadu
21.173343,72.792731,21.283343,72.902731,16.72,Gujarat
26.479108,80.315042,26.499108,80.335042,2.98,Uttar Pradesh
21.175104,72.804342,21.255104,72.884342,12.16,Gujarat
19.176269,72.836721,19.286269,72.946721,16.82,Maharashtra
12.975377,77.696664,13.025377,77.746664,7.76,Karnataka
23.359194,85.325447,23.419194,85.385447,9.06,Jharkhand
12.297954,76.665169,12.307954,76.675169,1.55,Karnataka
23.359407,85.325055,23.439407,85.405055,12.07,Jharkhand
23.416792,85.316842,23.506792,85.406842,13.58,Jharkhand
26.892312,75.806896,26.922313,75.836896,4.47,Rajasthan
22.761593,75.886362,22.871593,75.996362,16.63,Madhya Pradesh
11.026117,76.944652,11.066117,76.984652,6.23,Tamil Nadu
13.064181,80.236442,13.104181,80.276442,6.21,Tamil Nadu
26.483042,80.317833,26.533042,80.367833,7.46,Uttar Pradesh
11.000762,76.981876,11.130762,77.111876,20.25,Tamil Nadu
23.359033,85.325347,23.469033,85.435347,16.6,Jharkhand
22.569358,88.433452,22.599358,88.463452,4.54,West Bengal
12.914264,77.6784,12.994264,77.7584,12.42,Karnataka
19.121999,72.908493,19.161999,72.948493,6.12,Maharashtra
21.157729,72.768726,21.167729,72.778726,1.52,Gujarat
22.311603,73.165012,22.371603,73.225012,9.09,Gujarat
18.536562,73.896485,18.556562,73.916485,3.06,Maharashtra
22.745536,75.893106,22.765536,75.913106,3.03,Madhya Pradesh
12.933298,77.614293,13.023298,77.704293,13.97,Karnataka
17.426228,78.407495,17.436228,78.417495,1.54,Telengana
12.934365,77.616155,13.024365,77.706155,13.97,Karnataka
11.003669,76.976494,11.063669,77.036494,9.35,Tamil Nadu
18.543626,73.905101,18.573626,73.935101,4.6,Maharashtra
22.311358,73.164798,22.381358,73.234798,10.6,Gujarat
12.986047,80.218114,13.096047,80.328114,17.08,Karnataka
17.41233,78.449654,17.47233,78.509654,9.22,Telengana
21.186884,72.793616,21.226884,72.833616,6.08,Gujarat
11.026117,76.944652,11.056117,76.974652,4.67,Tamil Nadu
19.065838,72.832658,19.135838,72.902658,10.71,Maharashtra
12.98041,77.640489,13.04041,77.700489,9.31,Karnataka
11.022477,76.995667,11.132477,77.105667,17.14,Tamil Nadu
12.310972,76.659264,12.350972,76.699264,6.22,Karnataka
11.025083,77.015393,11.105083,77.095393,12.46,Tamil Nadu
12.316967,76.603067,12.446967,76.733067,20.21,Karnataka
22.538731,88.364878,22.598731,88.424878,9.08,West Bengal
11.001753,76.986241,11.111753,77.096241,17.14,Tamil Nadu
22.310237,73.158921,22.400237,73.248921,13.63,Gujarat
23.359033,85.325347,23.439033,85.405347,12.07,Jharkhand
18.593481,73.785901,18.663481,73.855901,10.72,Maharashtra
21.186438,72.794115,21.236438,72.844115,7.6,Gujarat
22.725748,75.898497,22.775748,75.948497,7.56,Madhya Pradesh
17.450851,78.379347,17.540851,78.469347,13.83,Telengana
13.081878,80.248519,13.171878,80.338519,13.97,Tamil Nadu
10.035573,76.336958,10.105573,76.406958,10.92,Kerala
22.308096,73.167753,22.388096,73.247753,12.12,Gujarat
12.975996,80.221898,12.985996,80.231898,1.55,Karnataka
12.3085,76.665808,12.3385,76.695808,4.66,Karnataka
19.178321,72.834715,19.188321,72.844715,1.53,Maharashtra
26.910262,75.783013,26.990262,75.863013,11.92,Rajasthan
25.443994,81.860187,25.513994,81.930187,10.49,Uttar Pradesh
23.359194,85.325447,23.449194,85.415447,13.58,Jharkhand
17.458998,78.500366,17.508998,78.550366,7.68,Telengana
18.530963,73.828972,18.590963,73.888972,9.19,Maharashtra
12.321214,76.621094,12.361214,76.661094,6.22,Karnataka
26.913483,75.803139,26.983483,75.873139,10.43,Rajasthan
12.3085,76.665808,12.3685,76.725808,9.33,Karnataka
19.055831,72.833984,19.115831,72.893984,9.18,Maharashtra
12.337928,76.617889,12.407928,76.687889,10.88,Karnataka
23.351489,85.324253,23.421489,85.394253,10.57,Jharkhand
22.728163,75.884212,22.808163,75.964212,12.1,Madhya Pradesh
13.026286,80.275235,13.056286,80.305235,4.66,Tamil Nadu
26.766536,75.837333,26.786536,75.857333,2.98,Rajasthan
21.149834,72.778666,21.179834,72.808666,4.56,Gujarat
12.3085,76.665808,12.3985,76.755808,13.99,Karnataka
21.149669,72.772629,21.219669,72.842629,10.64,Gujarat
26.482581,80.315628,26.572581,80.405628,13.43,Uttar Pradesh
12.284747,76.625861,12.344747,76.685861,9.33,Karnataka
26.911378,75.789034,26.921378,75.799034,1.49,Rajasthan
13.02978,80.208812,13.10978,80.288812,12.42,Tamil Nadu
12.323194,76.630583,12.363194,76.670583,6.22,Karnataka
18.563934,73.915367,18.653934,74.005367,13.79,Maharashtra
22.569367,88.433187,22.629367,88.493187,9.08,West Bengal
12.949934,77.699386,13.009934,77.759386,9.32,Karnataka
22.725835,75.887648,22.835835,75.997648,16.64,Madhya Pradesh
18.536562,73.896485,18.596562,73.956485,9.19,Maharashtra
23.416792,85.316842,23.436792,85.336842,3.02,Jharkhand
30.89286,75.822199,30.92286,75.852199,4.4,Punjab
12.310972,76.659264,12.330972,76.679264,3.11,Karnataka
26.913987,75.752891,26.993987,75.832891,11.92,Rajasthan
11.001753,76.986241,11.021753,77.006241,3.12,Tamil Nadu
12.933284,77.615428,13.003284,77.685428,10.87,Karnataka
12.352058,76.60665,12.362058,76.61665,1.55,Karnataka
13.086438,80.220672,13.146439,80.280672,9.31,Tamil Nadu
17.429585,78.392621,17.469585,78.432621,6.15,Telengana
12.978453,77.643685,13.048453,77.713685,10.87,Karnataka
13.044694,80.26147,13.084694,80.30147,6.21,Tamil Nadu
12.98041,77.640489,13.11041,77.770489,20.18,Karnataka
26.846156,75.8023,26.926156,75.8823,11.92,Rajasthan
25.449659,81.839744,25.479659,81.869744,4.49,Uttar Pradesh
26.911927,75.797282,27.051927,75.937282,20.85,Rajasthan
10.020683,76.310631,10.030683,76.320631,1.56,Kerala
12.935662,77.61413,12.975662,77.65413,6.21,Karnataka
15.585658,73.743606,15.625658,73.783606,6.18,Goa
17.429585,78.392621,17.519585,78.482621,13.83,Telengana
26.766536,75.837333,26.896536,75.967333,19.37,Rajasthan
26.913987,75.752891,27.053987,75.892891,20.85,Rajasthan
22.310526,73.170937,22.420526,73.280937,16.66,Gujarat
12.972532,77.608179,13.022532,77.658179,7.76,Karnataka
19.103249,72.846749,19.193249,72.936749,13.77,Maharashtra
17.426228,78.407495,17.506228,78.487495,12.29,Telengana
26.471617,80.313564,26.491617,80.333564,2.98,Uttar Pradesh
19.866969,75.318894,19.976969,75.428894,16.79,Maharashtra
18.593481,73.785901,18.603481,73.795901,1.53,Maharashtra
12.906229,77.596791,12.986229,77.676791,12.42,Karnataka
26.482581,80.315628,26.552581,80.385628,10.44,Uttar Pradesh
12.933298,77.614293,13.013298,77.694293,12.42,Karnataka
22.751857,75.866699,22.881857,75.996699,19.66,Madhya Pradesh
11.010375,76.95295,11.090375,77.03295,12.46,Tamil Nadu
17.483216,78.552111,17.523216,78.592111,6.15,Telengana
27.160934,78.044095,27.220934,78.104095,8.93,Uttar Pradesh
25.457687,81.835585,25.497687,81.875585,5.99,Uttar Pradesh
19.12663,72.829976,19.13663,72.839976,1.53,Maharashtra
19.875016,75.322405,19.965016,75.412405,13.74,Maharashtra
19.178321,72.834715,19.248321,72.904715,10.71,Maharashtra
13.026279,80.174568,13.046279,80.194568,3.1,Tamil Nadu
17.455894,78.375467,17.485894,78.405467,4.61,Telengana
21.149834,72.778666,21.209834,72.838666,9.12,Gujarat
11.022477,76.995667,11.092477,77.065667,10.91,Tamil Nadu
22.310237,73.158921,22.370237,73.218921,9.09,Gujarat
11.010375,76.95295,11.050375,76.99295,6.23,Tamil Nadu
22.745049,75.892471,22.835049,75.982471,13.61,Madhya Pradesh
22.74806,75.8934,22.83806,75.9834,13.61,Madhya Pradesh
19.178321,72.834715,19.268321,72.924715,13.76,Maharashtra
13.054347,80.257221,13.104347,80.307221,7.76,Tamil Nadu
12.979096,77.640625,13.009096,77.670625,4.66,Karnataka
27.163303,78.057044,27.293303,78.187044,19.34,Uttar Pradesh
26.482419,80.320939,26.502419,80.340939,2.98,Uttar Pradesh
22.310237,73.158921,22.350237,73.198921,6.06,Gujarat
22.307898,73.167788,22.367898,73.227788,9.09,Gujarat
27.160832,78.011608,27.230832,78.081608,10.42,Uttar Pradesh
10.027014,76.308053,10.137014,76.418053,17.16,Kerala
30.890184,75.829615,31.000184,75.939615,16.11,Punjab
11.003681,76.975525,11.133681,77.105525,20.25,Tamil Nadu
12.986047,80.218114,13.096047,80.328114,17.08,Karnataka
11.006686,76.951736,11.056686,77.001736,7.79,Tamil Nadu
21.15276,72.778059,21.28276,72.908059,19.76,Gujarat
22.753839,75.897429,22.773839,75.917429,3.03,Madhya Pradesh
19.876106,75.340775,20.006106,75.470775,19.84,Maharashtra
13.005801,80.250744,13.115801,80.360744,17.08,Tamil Nadu
12.933298,77.614293,12.943298,77.624293,1.55,Karnataka
30.328174,78.049117,30.398174,78.119117,10.28,Uttarakhand
12.978453,77.643685,13.048453,77.713685,10.87,Karnataka
13.058616,80.264151,13.138616,80.344151,12.42,Tamil Nadu
26.911927,75.797282,26.971927,75.857282,8.94,Rajasthan
22.307898,73.167788,22.417898,73.277788,16.66,Gujarat
21.170096,72.789122,21.220096,72.839122,7.6,Gujarat
30.905562,75.832841,30.995562,75.922841,13.18,Punjab
26.849596,75.800512,26.989596,75.940512,20.86,Rajasthan
27.163303,78.057044,27.243303,78.137044,11.9,Uttar Pradesh
21.157729,72.768726,21.247729,72.858726,13.68,Gujarat
26.902328,75.794257,26.932328,75.824257,4.47,Rajasthan
26.90519,75.810753,26.99519,75.900753,13.41,Rajasthan
17.428294,78.404423,17.448294,78.424423,3.07,Telengana
12.316967,76.603067,12.446967,76.733067,20.21,Karnataka
12.975377,77.696664,13.055377,77.776664,12.42,Karnataka
13.026286,80.275235,13.046286,80.295235,3.1,Tamil Nadu
12.323978,76.627961,12.453978,76.757961,20.21,Karnataka
11.025083,77.015393,11.055083,77.045393,4.67,Tamil Nadu
12.933284,77.615428,12.953284,77.635428,3.11,Karnataka
26.492106,80.327797,26.562106,80.397797,10.44,Uttar Pradesh
19.003517,72.82765,19.073517,72.89765,10.71,Maharashtra
10.994136,76.963303,11.024136,76.993303,4.67,Tamil Nadu
23.353783,85.326967,23.463783,85.436967,16.6,Jharkhand
17.440827,78.393391,17.510827,78.463391,10.76,Telengana
19.12663,72.829976,19.20663,72.909976,12.24,Maharashtra
12.297954,76.665169,12.327954,76.695169,4.66,Karnataka
22.308096,73.167753,22.318096,73.177753,1.51,Gujarat
12.323194,76.630583,12.343194,76.650583,3.11,Karnataka
17.450851,78.379347,17.510851,78.439347,9.22,Telengana
18.543626,73.905101,18.623626,73.985101,12.26,Maharashtra
12.304569,76.643622,12.364569,76.703622,9.33,Karnataka
26.849596,75.800512,26.869596,75.820512,2.98,Rajasthan
19.003517,72.82765,19.013517,72.83765,1.53,Maharashtra
21.160522,72.771477,21.210522,72.821477,7.6,Gujarat
22.728163,75.884212,22.858163,76.014212,19.66,Madhya Pradesh
22.31279,73.170283,22.38279,73.240283,10.6,Gujarat
12.98041,77.640489,13.06041,77.720489,12.42,Karnataka
19.131141,72.813074,19.16114,72.843074,4.59,Maharashtra
17.433809,78.386744,17.523809,78.476744,13.83,Telengana
17.428294,78.404423,17.558294,78.534423,19.98,Telengana
26.766536,75.837333,26.896536,75.967333,19.37,Rajasthan
19.879631,75.323403,19.899631,75.343403,3.05,Maharashtra
13.026286,80.275235,13.046286,80.295235,3.1,Tamil Nadu
19.091458,72.827808,19.151458,72.887808,9.18,Maharashtra
26.849596,75.800512,26.859596,75.810512,1.49,Rajasthan
12.934179,77.615797,12.954179,77.635797,3.11,Karnataka
18.520016,73.830547,18.570016,73.880547,7.66,Maharashtra
12.986047,80.218114,13.096047,80.328114,17.08,Karnataka
21.170798,72.790489,21.280798,72.900489,16.72,Gujarat
18.563934,73.915367,18.603935,73.955367,6.13,Maharashtra
22.760072,75.892574,22.850072,75.982574,13.61,Madhya Pradesh
19.12663,72.829976,19.16663,72.869976,6.12,Maharashtra
22.761226,75.887522,22.821226,75.947522,9.07,Madhya Pradesh
19.178321,72.834715,19.198321,72.854715,3.06,Maharashtra
21.149834,72.778666,21.199834,72.828666,7.6,Gujarat
26.88842,75.800689,26.89842,75.810689,1.49,Rajasthan
12.297954,76.665169,12.307954,76.675169,1.55,Karnataka
17.458998,78.500366,17.518998,78.560366,9.22,Telengana
23.354422,85.3329,23.484422,85.4629,19.62,Jharkhand
13.044694,80.26147,13.084694,80.30147,6.21,Tamil Nadu
23.416792,85.316842,23.456792,85.356842,6.04,Jharkhand
18.520016,73.830547,18.630016,73.940547,16.85,Maharashtra
22.722634,75.886959,22.812634,75.976959,13.61,Madhya Pradesh
22.745536,75.893106,22.765536,75.913106,3.03,Madhya Pradesh
12.972161,77.596014,13.042161,77.666014,10.87,Karnataka
12.304569,76.643622,12.354569,76.693622,7.77,Karnataka
21.175104,72.804342,21.245104,72.874342,10.64,Gujarat
12.935662,77.61413,13.015662,77.69413,12.42,Karnataka
21.17106,72.789292,21.21106,72.829292,6.08,Gujarat
17.450851,78.379347,17.500851,78.429347,7.68,Telengana
22.526461,88.364453,22.576461,88.414453,7.57,West Bengal
23.371292,85.327872,23.441292,85.397872,10.56,Jharkhand
18.520016,73.830547,18.530016,73.840547,1.53,Maharashtra
13.029198,77.570997,13.059198,77.600997,4.66,Karnataka
23.416792,85.316842,23.476792,85.376842,9.05,Jharkhand
18.520016,73.830547,18.630016,73.940547,16.85,Maharashtra
23.416792,85.316842,23.436792,85.336842,3.02,Jharkhand
18.546258,73.904337,18.656258,74.014337,16.85,Maharashtra
13.026286,80.275235,13.136286,80.385235,17.07,Tamil Nadu
26.921411,75.793604,26.981411,75.853604,8.94,Rajasthan
22.552672,88.352885,22.642672,88.442885,13.62,West Bengal
12.352058,76.60665,12.432058,76.68665,12.43,Karnataka
11.022298,76.998349,11.132298,77.108349,17.14,Tamil Nadu
11.008638,76.984311,11.068638,77.044311,9.35,Tamil Nadu
21.149669,72.772629,21.199669,72.822629,7.6,Gujarat
12.972161,77.596014,13.002161,77.626014,4.66,Karnataka
13.049645,80.242268,13.139645,80.332268,13.97,Tamil Nadu
17.430448,78.418213,17.520448,78.508213,13.83,Telengana
30.372202,78.077151,30.442202,78.147151,10.28,Uttarakhand
19.176269,72.836721,19.216269,72.876721,6.12,Maharashtra
23.351489,85.324253,23.411489,85.384253,9.06,Jharkhand
18.530963,73.828972,18.590963,73.888972,9.19,Maharashtra
26.766536,75.837333,26.826536,75.897333,8.94,Rajasthan
22.722634,75.886959,22.762634,75.926959,6.05,Madhya Pradesh
12.98041,77.640489,13.01041,77.670489,4.66,Karnataka
22.307898,73.167788,22.417898,73.277788,16.66,Gujarat
19.091458,72.827808,19.201458,72.937808,16.83,Maharashtra
19.874733,75.353942,19.984733,75.463942,16.79,Maharashtra
13.045479,80.23311,13.155479,80.34311,17.07,Tamil Nadu
26.956431,75.776649,27.046431,75.866649,13.4,Rajasthan
10.027014,76.308053,10.157014,76.438053,20.29,Kerala
11.008638,76.984311,11.138638,77.114311,20.25,Tamil Nadu
13.022394,80.242439,13.112394,80.332439,13.97,Tamil Nadu
19.065838,72.832658,19.175838,72.942658,16.83,Maharashtra
22.75004,75.902847,22.78004,75.932847,4.54,Madhya Pradesh
21.173493,72.801953,21.203493,72.831953,4.56,Gujarat
13.029198,77.570997,13.039198,77.580997,1.55,Karnataka
13.026279,80.174568,13.036279,80.184568,1.55,Tamil Nadu
13.091809,80.219104,13.131809,80.259104,6.21,Tamil Nadu
22.308096,73.167753,22.348096,73.207753,6.06,Gujarat
21.183434,72.814492,21.203434,72.834492,3.04,Gujarat
18.533811,73.899315,18.623811,73.989315,13.79,Maharashtra
23.351489,85.324253,23.431489,85.404253,12.07,Jharkhand
11.003681,76.975525,11.053681,77.025525,7.79,Tamil Nadu
21.149669,72.772629,21.279669,72.902629,19.76,Gujarat
12.975377,77.696664,13.045377,77.766664,10.87,Karnataka
22.311358,73.164798,22.421358,73.274798,16.66,Gujarat
12.986047,80.218114,13.056047,80.288114,10.87,Karnataka
21.175975,72.795503,21.285975,72.905503,16.72,Gujarat
15.496162,73.825364,15.536162,73.865364,6.18,Goa
26.913726,75.75282,26.933726,75.77282,2.98,Rajasthan
22.569367,88.433187,22.639367,88.503187,10.59,West Bengal
21.170798,72.790489,21.300798,72.920489,19.76,Gujarat
22.74806,75.8934,22.75806,75.9034,1.51,Madhya Pradesh
30.895817,75.813112,30.905817,75.823112,1.47,Punjab
23.357804,85.325146,23.417804,85.385146,9.06,Jharkhand
11.010375,76.95295,11.090375,77.03295,12.46,Tamil Nadu
12.323994,76.626167,12.353994,76.656167,4.66,Karnataka
19.120083,72.907385,19.190083,72.977385,10.71,Maharashtra
18.563934,73.915367,18.643935,73.995367,12.26,Maharashtra
12.906229,77.596791,13.016229,77.706791,17.08,Karnataka
12.933298,77.614293,13.023298,77.704293,13.97,Karnataka
27.161661,78.011544,27.241661,78.091544,11.9,Uttar Pradesh
12.337928,76.617889,12.347928,76.627889,1.55,Karnataka
10.994136,76.963303,11.074136,77.043303,12.46,Tamil Nadu
17.440827,78.393391,17.550827,78.503391,16.9,Telengana
11.003681,76.975525,11.033681,77.005525,4.67,Tamil Nadu
13.064181,80.236442,13.154181,80.326442,13.97,Tamil Nadu
13.066762,80.251865,13.116762,80.301865,7.76,Tamil Nadu
21.160437,72.774209,21.200437,72.814209,6.08,Gujarat
19.091458,72.827808,19.111458,72.847808,3.06,Maharashtra
23.416792,85.316842,23.476792,85.376842,9.05,Jharkhand
30.362686,78.06889,30.492686,78.19889,19.09,Uttarakhand
22.725748,75.898497,22.755747,75.928497,4.54,Madhya Pradesh
17.410371,78.437225,17.520371,78.547225,16.9,Telengana
18.56245,73.916619,18.65245,74.006619,13.79,Maharashtra
12.972161,77.596014,12.992161,77.616014,3.11,Karnataka
23.416792,85.316842,23.446792,85.346842,4.53,Jharkhand
12.906229,77.596791,13.036229,77.726791,20.18,Karnataka
9.979186,76.317361,10.049186,76.387361,10.92,Kerala
13.049645,80.242268,13.079645,80.272268,4.66,Tamil Nadu
17.411028,78.329645,17.541028,78.459645,19.98,Telengana
12.933284,77.615428,13.003284,77.685428,10.87,Karnataka
11.000762,76.981876,11.020762,77.001876,3.12,Tamil Nadu
18.539299,73.897902,18.609299,73.967902,10.72,Maharashtra
11.022298,76.998349,11.042298,77.018349,3.12,Tamil Nadu
22.310329,73.169083,22.360329,73.219083,7.57,Gujarat
12.949934,77.699386,12.999934,77.749386,7.76,Karnataka
11.022169,76.999594,11.082169,77.059594,9.35,Tamil Nadu
19.875908,75.358888,19.925908,75.408888,7.63,Maharashtra
10.006881,76.345397,10.076881,76.415397,10.92,Kerala
12.326356,76.619103,12.366356,76.659103,6.22,Karnataka
17.431477,78.40035,17.451477,78.42035,3.07,Telengana
26.88842,75.800689,27.02842,75.940689,20.85,Rajasthan
11.003669,76.976494,11.073669,77.046494,10.91,Tamil Nadu
13.022394,80.242439,13.072394,80.292439,7.76,Tamil Nadu
18.51421,73.838429,18.62421,73.948429,16.85,Maharashtra
21.186884,72.793616,21.196884,72.803616,1.52,Gujarat
22.307898,73.167788,22.417898,73.277788,16.66,Gujarat
19.875522,75.367127,19.925522,75.417127,7.63,Maharashtra
26.892312,75.806896,26.972313,75.886896,11.92,Rajasthan
22.310237,73.158921,22.420237,73.268921,16.66,Gujarat
23.359033,85.325347,23.449033,85.415347,13.58,Jharkhand
22.552996,88.35231,22.572996,88.37231,3.03,West Bengal
22.538731,88.364878,22.598731,88.424878,9.08,West Bengal
22.311603,73.165012,22.351603,73.205012,6.06,Gujarat
30.895204,75.822103,30.945204,75.872103,7.33,Punjab
17.428294,78.404423,17.498294,78.474423,10.76,Telengana
25.450329,81.834279,25.540329,81.924279,13.48,Uttar Pradesh
18.546947,73.900626,18.656947,74.010626,16.85,Maharashtra
26.956431,75.776649,27.066431,75.886649,16.38,Rajasthan
13.026279,80.174568,13.086279,80.234568,9.31,Tamil Nadu
19.1813,72.836191,19.2413,72.896191,9.18,Maharashtra
30.340722,78.060221,30.430722,78.150221,13.22,Uttarakhand
19.874733,75.353942,19.964733,75.443942,13.74,Maharashtra
26.911927,75.797282,27.001927,75.887282,13.41,Rajasthan
13.058616,80.264151,13.188616,80.394151,20.18,Tamil Nadu
12.352058,76.60665,12.402058,76.65665,7.77,Karnataka
22.727021,75.884167,22.747021,75.904167,3.03,Madhya Pradesh
22.651847,75.881991,22.681847,75.911991,4.54,Madhya Pradesh
25.45235,81.841889,25.48235,81.871889,4.49,Uttar Pradesh
10.994136,76.963303,11.084136,77.053303,14.02,Tamil Nadu
19.874733,75.353942,19.954733,75.433942,12.21,Maharashtra
22.311603,73.165012,22.401603,73.255012,13.63,Gujarat
17.411028,78.329645,17.441028,78.359645,4.61,Telengana
12.972532,77.608179,12.992532,77.628179,3.11,Karnataka
23.359033,85.325347,23.379033,85.345347,3.02,Jharkhand
17.426228,78.407495,17.556228,78.537495,19.98,Telengana
21.173493,72.801953,21.243493,72.871953,10.64,Gujarat
11.003669,76.976494,11.073669,77.046494,10.91,Tamil Nadu
12.972161,77.596014,13.042161,77.666014,10.87,Karnataka
21.149669,72.772629,21.179669,72.802629,4.56,Gujarat
26.892312,75.806896,26.972313,75.886896,11.92,Rajasthan
17.424114,78.347554,17.534114,78.457554,16.9,Telengana
21.170096,72.789122,21.250096,72.869122,12.16,Gujarat
22.760072,75.892574,22.780072,75.912574,3.02,Madhya Pradesh
12.325461,76.632278,12.335461,76.642278,1.55,Karnataka
21.157735,72.768778,21.167735,72.778778,1.52,Gujarat
11.000762,76.981876,11.030762,77.011876,4.67,Tamil Nadu
21.186884,72.793616,21.206884,72.813616,3.04,Gujarat
21.157729,72.768726,21.187729,72.798726,4.56,Gujarat
13.086438,80.220672,13.136439,80.270672,7.76,Tamil Nadu
26.846156,75.8023,26.956156,75.9123,16.39,Rajasthan
21.157729,72.768726,21.197729,72.808726,6.08,Gujarat
12.939496,77.625999,13.069496,77.755999,20.18,Karnataka
